datetime,value,cash,available_base,trade_type,buy_or_sell_price,received_amounts,paid_amounts,payment_commission,commission_type,buy_counts,sell_counts,stop_loss_counts,buy_and_hold
2021-04-24 03:59:59.999,1099.2036998165693,501.9510351855911,521.71373320083,BUY,1.14517,521.71373320083,598.0489648144089,0.598048964814409,QUOTE,1,0,0,1100.0
2021-04-24 07:59:59.999,1112.0062939724517,1112.0062939714803,8.300276022055186e-10,SELL,1.1705,610.0552587858894,521.7137332,0.5217137332,BASE,1,1,0,1124.3581792293783
2021-04-24 11:59:59.999,1112.0062939724082,1112.0062939714803,8.300276022055186e-10,,,,,,,1,1,0,1074.1812908917793
2021-04-24 15:59:59.999,1111.4238735167428,508.26020063048134,533.1409416146,BUY,1.1313,533.14094161377,603.746093340999,0.603746093340999,QUOTE,2,1,0,1087.0762323220852
2021-04-24 19:59:59.999,1109.1686873337133,508.26020063048134,533.1409416146,,,,,,,2,1,0,1083.011731409254
2021-04-24 23:59:59.999,1095.7266047727887,1095.7266047677156,4.599996827892028e-09,SELL,1.103,587.4664041372342,533.14094161,0.53314094161,BASE,2,2,0,1059.720123341399
2021-04-25 03:59:59.999,1095.7266047727394,1095.7266047677156,4.599996827892028e-09,,,,,,,2,2,0,1049.3907179482699
2021-04-25 04:00:57.224,1095.726604772765,1095.7266047677156,4.599996827892028e-09,,,,,,,2,2,0,1054.781226251103
2021-04-25 11:59:59.999,1095.7266047728497,1095.7266047677156,4.599996827892028e-09,,,,,,,2,2,0,1072.4324985368496
2021-04-25 15:59:59.999,1095.726604772968,1095.7266047677156,4.599996827892028e-09,,,,,,,2,2,0,1097.1269839883296
2021-04-25 19:59:59.999,1095.726604772803,1095.7266047677156,4.599996827892028e-09,,,,,,,2,2,0,1062.7276618419098
2021-04-25 23:59:59.999,1095.7266047727355,1095.7266047677156,4.599996827892028e-09,,,,,,,2,2,0,1048.6028005136313
2021-04-26 03:59:59.999,1095.7266047731528,1095.7266047677156,4.599996827892028e-09,,,,,,,2,2,0,1135.7541557840302
2021-04-26 07:59:59.999,1095.1332902027145,502.41203418131556,488.15784551260003,BUY,1.2142,488.15784550800004,593.3145705864,0.5933145705864,QUOTE,3,2,0,1166.6943282174022
2021-04-26 11:59:59.999,1105.805738731806,1105.805738728589,2.6000179786933586e-09,SELL,1.2373,603.3937045472735,488.15784551,0.48815784551,BASE,3,3,0,1188.8905388761257
2021-04-26 15:59:59.999,1105.8057387317785,1105.805738728589,2.6000179786933586e-09,,,,,,,3,3,0,1178.8013522130695
2021-04-26 19:59:59.999,1105.8057387318033,1105.805738728589,2.6000179786933586e-09,,,,,,,3,3,0,1187.9296639558347
2021-04-26 23:59:59.999,1105.8057387318065,1105.805738728589,2.6000179786933586e-09,,,,,,,3,3,0,1189.082713860184
