datetime,value,cash,available_base,trade_type,buy_or_sell_price,received_amounts,paid_amounts,payment_commission,commission_type,buy_counts,sell_counts,stop_loss_counts,buy_and_hold
2022-03-30 19:59:59.999,2082.130668481572,914.286849783288,824.9815051556118,,,,,,,404,397,0,5074.661886915431
2022-03-30 23:59:59.999,2076.6032923970292,914.286849783288,824.9815051556118,,,,,,,404,397,0,5050.643636956168
2022-03-31 03:59:59.999,2099.5377782403557,914.286849783288,824.9815051556118,,,,,,,404,397,0,5150.301450219978
2022-03-31 07:59:59.999,2099.45528008984,914.286849783288,824.9815051556118,,,,,,,404,397,0,5149.942968877302
2022-03-31 11:59:59.999,2115.5271907680744,928.5225656711942,815.1944406956118,SELL,1.456,14.23571588790624,9.78706446,0.00978706446,BASE,404,398,0,5219.846830699038
2022-03-31 15:59:59.999,2151.7857191316207,945.0291186568675,804.1827272256118,SELL,1.5005,16.506552985673267,11.01171347,0.01101171347,BASE,404,399,0,5379.371028189669
2022-03-31 19:59:59.999,2095.3887656180827,921.2847836345825,820.7647549692417,BUY,1.4305,16.58202774363,23.744335022285004,0.023744335022285006,QUOTE,405,399,0,5128.075606974092
2022-03-31 23:59:59.999,2095.306689142586,921.2847836345825,820.7647549692417,,,,,,,405,399,0,5127.717125631416
2022-04-01 03:59:59.999,2118.9447140857,921.2847836345825,820.7647549692417,,,,,,,405,399,0,5230.959752321982
2022-04-01 07:59:59.999,2179.7198072098618,957.6917721814036,796.9921313692417,SELL,1.533,36.4069885468212,23.7726236,0.0237726236,BASE,405,400,0,5496.594427244582
2022-04-01 11:59:59.999,2165.6130464846265,957.6917721814036,796.9921313692417,,,,,,,405,400,0,5433.143229591005
2022-04-01 15:59:59.999,2192.7107789511806,957.6917721814036,796.9921313692417,,,,,,,405,400,0,5555.026886100701
2022-04-01 19:59:59.999,2209.6867113493454,957.6917721814036,796.9921313692417,,,,,,,405,400,0,5631.383412090598
2022-04-01 23:59:59.999,2224.9723971489066,974.2383317869953,786.5757281692418,SELL,1.5901,16.54655960559168,10.4164032,0.0104164032,BASE,405,401,0,5700.211829884309
2022-04-02 03:59:59.999,2256.894560209813,987.8731016525635,778.2065729792417,SELL,1.6308,13.63476986556815,8.36915519,0.008369155190000001,BASE,405,402,0,5845.755255010592
2022-04-02 07:59:59.999,2278.917806225126,987.8731016525635,778.2065729792417,,,,,,,405,402,0,5947.205474987779
2022-04-02 11:59:59.999,2274.6376700737396,987.8731016525635,778.2065729792417,,,,,,,405,402,0,5927.489001140622
2022-04-02 15:59:59.999,2231.5912266904897,976.9367677865235,785.0422093004418,BUY,1.5983,6.8356363212,10.93633386604,0.01093633386604,QUOTE,406,402,0,5729.24881864103
2022-04-02 19:59:59.999,2210.3950870393774,976.9367677865235,785.0422093004418,,,,,,,406,402,0,5632.458856118625
2022-04-02 23:59:59.999,2182.4277413496516,955.7128991484235,798.8505093782418,BUY,1.5355,13.8083000778,21.2238686381,0.0212238686381,QUOTE,407,402,0,5504.839498126121
2022-04-03 03:59:59.999,2207.9819146886566,966.8843481965766,791.7182741082418,SELL,1.5679,11.171449048153166,7.13223527,0.00713223527,BASE,407,403,0,5619.553527782305
2022-04-03 07:59:59.999,2231.409559535623,977.376814769671,785.1444682982418,SELL,1.5977,10.492466573094362,6.57380581,0.00657380581,BASE,407,404,0,5725.664005214274
2022-04-03 11:59:59.999,2222.458912597023,977.376814769671,785.1444682982418,,,,,,,407,404,0,5684.797132149259
2022-04-03 15:59:59.999,2224.8143460019173,977.376814769671,785.1444682982418,,,,,,,407,404,0,5695.551572429526
2022-04-03 19:59:59.999,2222.6159414906824,977.376814769671,785.1444682982418,,,,,,,407,404,0,5685.51409483461
2022-04-03 23:59:59.999,2254.571321350421,977.376814769671,785.1444682982418,,,,,,,407,404,0,5831.416001303569
2022-04-04 03:59:59.999,2222.3803981501933,977.376814769671,785.1444682982418,,,,,,,407,404,0,5684.438650806584
2022-04-04 07:59:59.999,2231.409559535623,977.376814769671,785.1444682982418,,,,,,,407,404,0,5725.664005214274
2022-04-04 11:59:59.999,2215.4711268291685,977.376814769671,785.1444682982418,,,,,,,407,404,0,5652.892292651132
2022-04-04 15:59:59.999,2167.2292563344645,947.336585096242,804.9440258912718,BUY,1.5157,19.799557593030002,30.040229673429003,0.030040229673429005,QUOTE,408,404,0,5432.78474824833
