datetime,value,cash,available_base,trade_type,buy_or_sell_price,received_amounts,paid_amounts,payment_commission,commission_type,buy_counts,sell_counts,stop_loss_counts,buy_and_hold
2021-04-24 03:59:59.999,1098.8385952168082,0.0,204.682610639249,BUY,5.3688,204.682610639249,1100.0,1.1,QUOTE,1,0,0,1100.0
2021-04-24 07:59:59.999,1092.2068786320965,0.0,204.682610639249,,,,,,,1,0,0,1093.3612740989104
2021-04-24 11:59:59.999,1047.8726251676353,0.0,204.682610639249,,,,,,,1,0,0,1048.9801620564406
2021-04-24 15:59:59.999,1078.3498658918193,0.0,204.682610639249,,,,,,,1,0,0,1079.489615348794
2021-04-24 19:59:59.999,1067.8655313366423,1067.865531288358,9.248992682842072e-09,SELL,5.2224,1067.865531288358,204.68261063,0.20468261063,BASE,1,1,0,1069.6749557604546
2021-04-24 23:59:59.999,1067.865531335389,1067.865531288358,9.248992682842072e-09,,,,,,,1,1,0,1041.9111483654654
2021-04-25 03:59:59.999,1066.797665804104,4.2309920900152065e-08,209.966474917689,BUY,5.0808,209.96647490844,1067.865531246048,1.067865531246048,QUOTE,2,1,0,1041.0505727856944
2021-04-25 04:00:59.140,1069.1072970281987,4.2309920900152065e-08,209.966474917689,,,,,,,2,1,0,1043.3044612089038
2021-04-25 11:59:59.999,1098.138248692794,1098.1382486525365,7.689010317335487e-09,SELL,5.2353,1098.1382486102266,209.96647491,0.20996647491,BASE,2,2,0,1072.7894197634348
2021-04-25 15:59:59.999,1098.1382486940947,1098.1382486525365,7.689010317335487e-09,,,,,,,2,2,0,1107.4583216913477
2021-04-25 19:59:59.999,1098.1382486920766,1098.1382486525365,7.689010317335487e-09,,,,,,,2,2,0,1053.6723479556674
2021-04-25 23:59:59.999,1098.1382486909754,1098.1382486525365,7.689010317335487e-09,,,,,,,2,2,0,1024.3308186644315
2021-04-26 03:59:59.999,1098.1382486941486,1098.1382486525365,7.689010317335487e-09,,,,,,,2,2,0,1108.8926143242993
2021-04-26 07:59:59.999,1098.1382486948798,1098.1382486525365,7.689010317335487e-09,,,,,,,2,2,0,1128.3785042376828
2021-04-26 11:59:59.999,1098.1382486953235,1098.1382486525365,7.689010317335487e-09,,,,,,,2,2,0,1140.2011735121544
2021-04-26 15:59:59.999,1097.0595067002325,0.019396267306319714,193.76856549966905,BUY,5.6615,193.76856549198004,1098.1188523852302,1.09811885238523,QUOTE,3,2,0,1160.055881531154
2021-04-26 19:59:59.999,1113.0164061997355,1113.0164061441615,9.669065548223443e-09,SELL,5.7497,1112.9970098768551,193.76856549,0.19376856549,BASE,3,3,0,1177.6771910217008
