Time;Type;Volume;Symbol;Price;S/L;T/P;Time;Price;Commission;Swap;Profit;Comment
2022.04.07 10:29:54;Balance;;;;;;;;;;0.16;
2022.04.06 10:30:54;Balance;;;;;;;;;;0.13;
2022.04.05 05:50:46;Buy;0.02;XAUUSDfw;1 930.11;1 915.00;;2022.04.06 07:12:41;1 914.85;;;-30.52;[sl]
2022.03.31 22:00:30;Buy;0.02;USDCADfw;1.2507;1.2429;;2022.04.05 12:59:59;1.2429;;;-12.55;[sl]
2022.04.05 10:28:44;Balance;;;;;;;;;;0.16;
2022.04.04 01:46:57;Buy;0.02;XAUUSDfw;1 925.30;1 926.00;;2022.04.04 09:53:44;1 925.99;;;1.38;[sl]
2022.03.31 10:30:14;Balance;;;;;;;;;;0.13;
2022.03.29 01:44:40;Buy;0.02;USDCADfw;1.2524;1.2460;;2022.03.30 13:00:58;1.2460;;;-10.27;[sl]
2022.03.30 10:31:04;Balance;;;;;;;;;;0.24;
2022.03.25 07:12:18;Sell;0.02;NZDCADfw;0.8734;;;2022.03.29 10:59:14;0.8618;;;18.58;
2022.03.25 07:12:06;Buy;0.02;EURNZDfw;1.5823;;;2022.03.29 10:59:10;1.6007;;;25.39;
2022.03.26 10:28:51;Balance;;;;;;;;;;0.08;
2022.03.25 10:29:29;Balance;;;;;;;;;;0.13;
2022.03.23 08:56:24;Buy;0.01;XAUUSDfw;1 923.52;1 924.00;;2022.03.25 07:10:09;1 954.83;;;31.31;
2022.03.23 21:25:29;Buy;0.02;GBPCADfw;1.6596;1.6515;;2022.03.24 14:29:01;1.6515;;;-12.92;[sl]
2022.03.24 10:26:39;Balance;;;;;;;;;;0.11;
2022.03.22 00:49:59;Buy;0.02;GBPNZDfw;1.9142;;;2022.03.23 11:03:01;1.8995;;;-20.46;
2022.03.23 10:27:59;Balance;;;;;;;;;;0.29;
2022.03.22 07:55:13;Buy;0.02;XAUUSDfw;1 934.45;1 917.05;;2022.03.22 14:04:48;1 915.26;;;-38.38;[sl]
2022.03.21 02:05:12;Buy;0.02;GBPCADfw;1.6586;;;2022.03.22 04:23:33;1.6521;;;-10.33;
2022.03.19 10:30:27;Balance;;;;;;;;;;0.57;
2022.03.16 00:26:50;Buy;0.02;AUDCHFfw;0.6768;0.6778;;2022.03.18 12:27:21;0.6903;;;28.87;
2022.03.17 00:24:48;Buy;0.02;AUDNZDfw;1.0682;;;2022.03.18 12:27:17;1.0716;;;4.68;
2022.03.16 00:27:52;Buy;0.02;GBPCADfw;1.6661;1.6560;;2022.03.18 08:13:40;1.6560;;;-16.04;[sl]
2022.03.17 00:27:03;Buy;0.02;XAUUSDfw;1 927.22;1 930.00;;2022.03.18 03:35:28;1 929.70;;;4.96;[sl]
2022.03.16 10:22:35;Balance;;;;;;;;;;0.28;
2022.03.15 16:58:09;Buy;0.02;XAUUSDfw;1 928.68;;;2022.03.15 19:09:10;1 920.41;;;-16.54;
2022.03.15 00:36:12;Buy;0.02;GBPCADfw;1.6683;1.6700;;2022.03.15 16:16:28;1.6700;;;2.66;[sl]
2022.03.15 10:30:42;Balance;;;;;;;;;;0.64;
2022.03.09 16:10:40;Sell;0.02;GBPUSDfw;1.3171;1.3230;;2022.03.14 09:48:39;1.3052;;;23.80;
2022.03.09 15:47:49;Buy;0.02;USDCADfw;1.2821;1.2680;;2022.03.14 09:48:37;1.2746;;;-11.77;
2022.03.09 01:24:49;Buy;0.02;GBPNZDfw;1.9243;1.9023;2.0500;2022.03.14 09:48:33;1.9180;;;-8.57;
2022.03.09 01:25:57;Buy;0.02;GBPJPYfw;151.94;150.89;157.47;2022.03.14 09:48:30;153.76;;;30.89;
2022.03.09 01:23:38;Buy;0.02;EURNZDfw;1.6017;1.5625;1.7327;2022.03.14 09:48:27;1.6132;;;15.64;
2022.03.12 10:30:17;Balance;;;;;;;;;;0.13;
2022.03.08 07:28:55;Buy;0.02;EURCADfw;1.3931;1.3970;1.4600;2022.03.11 14:12:02;1.3970;;;6.14;[sl]
2022.03.11 10:30:35;Balance;;;;;;;;;;0.29;
2022.03.09 01:24:40;Buy;0.02;GBPCADfw;1.6886;1.6707;1.7353;2022.03.10 19:19:08;1.6707;;;-28.08;[sl]
2022.03.09 16:10:24;Buy;0.02;XAUUSDfw;1 999.01;1 976.00;;2022.03.10 01:05:25;1 973.05;;;-51.92;[sl]
2022.03.09 10:25:15;Balance;;;;;;;;;;0.43;
2022.03.07 14:00:52;Sell;0.05;USDCHFfw;0.9245;0.9290;;2022.03.08 09:43:00;0.9290;;;-24.22;[sl]
2022.03.05 10:31:19;Balance;;;;;;;;;;0.14;
2022.03.04 04:22:42;Buy;0.02;GBPJPYfw;153.96;152.75;;2022.03.04 13:43:16;152.74;;;-21.14;[sl]
2022.03.03 10:31:57;Balance;;;;;;;;;;0.14;
2022.03.02 20:48:57;Sell;0.02;CADJPYfw;91.44;;;2022.03.02 23:55:27;91.38;;;1.04;
2022.03.02 10:32:06;Balance;;;;;;;;;;0.29;
2022.03.01 17:54:52;Buy;0.02;EURCADfw;1.4149;;;2022.03.01 22:29:36;1.4173;;;3.77;
2022.02.28 18:48:42;Sell;0.02;NZDUSDfw;0.6757;;;2022.03.01 17:31:03;0.6754;;;0.60;
2022.02.28 10:25:06;Balance;;;;;;;;;;0.30;
2022.02.25 16:46:57;Sell;0.02;NZDUSDfw;0.6737;;;2022.02.27 22:30:33;0.6697;;;8.00;
2022.02.25 17:02:58;Sell;0.02;NZDJPYfw;77.88;;;2022.02.27 22:30:30;77.46;;;7.27;
2022.02.26 10:31:44;Balance;;;;;;;;;;0.13;
2022.02.25 16:51:39;Sell;0.02;EURCADfw;1.4341;;;2022.02.25 21:21:16;1.4318;;;3.62;
2022.02.18 10:27:35;Balance;;;;;;;;;;0.13;
2022.02.14 05:34:34;Sell;0.02;AUDCADfw;0.9061;0.9165;0.8900;2022.02.17 08:10:24;0.9165;;;-16.38;[sl]
2022.02.12 10:32:09;Balance;;;;;;;;;;0.34;
2022.02.09 02:38:21;Sell;0.02;USDCADfw;1.2700;1.2790;1.2449;2022.02.11 16:03:16;1.2682;;;2.84;
2022.02.09 02:39:54;Sell;0.02;EURGBPfw;0.8426;0.8480;0.8285;2022.02.11 16:03:13;0.8384;;;11.42;
2022.02.11 10:29:17;Balance;;;;;;;;;;0.17;
2022.02.09 02:38:53;Sell;0.02;EURCHFfw;1.0561;1.0612;1.0300;2022.02.10 16:16:54;1.0612;;;-11.05;[sl]
2022.02.10 10:27:26;Balance;;;;;;;;;;0.13;
2022.02.09 10:31:35;Balance;;;;;;;;;;0.13;
2022.02.09 02:37:20;Buy;0.02;USDCADfw;1.2704;1.2644;1.2788;2022.02.09 02:38:06;1.2699;;;-0.79;
2022.02.07 02:29:35;Sell;0.02;AUDCADfw;0.9015;0.9078;0.8908;2022.02.08 19:17:00;0.9078;;;-9.92;[sl]
2022.02.03 10:26:39;Balance;;;;;;;;;;0.30;
2022.02.01 00:55:32;Buy;0.02;AUDJPYfw;81.37;80.31;;2022.02.02 14:04:05;81.60;;;4.02;
2022.02.02 01:34:35;Buy;0.02;XAUUSDfw;1 801.56;1 778.66;1 849.68;2022.02.02 14:04:02;1 800.83;;;-1.46;
2022.02.02 10:26:10;Balance;;;;;;;;;;0.29;
2022.02.01 00:49:48;Buy;0.02;XAUUSDfw;1 797.73;1 798.00;1 850.00;2022.02.01 15:01:51;1 798.00;;;0.54;[sl]
2022.02.01 00:50:03;Sell;0.02;USDCADfw;1.2709;1.2700;;2022.02.01 12:47:29;1.2700;;;1.42;[sl]
2022.02.01 10:30:39;Balance;;;;;;;;;;0.13;
2022.01.31 01:53:48;Buy;0.02;EURCADfw;1.4222;1.4122;;2022.01.31 19:44:54;1.4269;;;7.40;
2022.01.29 10:29:14;Balance;;;;;;;;;;0.06;
2022.01.28 02:04:16;Buy;0.01;GBPCADfw;1.7057;1.6950;;2022.01.28 14:08:15;1.7117;;;4.70;
2022.01.28 10:30:31;Balance;;;;;;;;;;0.28;
2022.01.27 01:55:14;Buy;0.01;CHFJPYfw;124.01;123.60;;2022.01.27 15:36:19;123.60;;;-3.55;[sl]
2022.01.25 01:47:55;Buy;0.01;GBPCADfw;1.7045;1.6953;1.7297;2022.01.27 13:45:01;1.6953;;;-7.25;[sl]
2022.01.25 01:48:30;Buy;0.01;USDJPYfw;113.84;114.00;116.25;2022.01.27 10:34:57;115.18;;;11.63;
2022.01.25 01:48:56;Sell;0.01;XAUUSDfw;1 840.87;1 840.00;1 767.88;2022.01.27 10:34:53;1 815.46;;;25.41;
