Time;Type;Volume;Symbol;Price;Time;Price;Commission;Swap;Profit
2022.04.05 10:53:05;Sell;0.02;EURJPY;135.057;2022.04.05 16:00:28;134.681;;;6.13
2022.04.05 10:53:04;Sell;0.02;EURJPY;135.057;2022.04.05 16:00:24;134.681;;;6.13
2022.04.05 10:21:24;Sell;0.02;EURJPY;134.753;2022.04.05 16:00:23;134.688;;;1.06
2022.04.05 10:21:23;Sell;0.02;EURJPY;134.753;2022.04.05 16:00:21;134.675;;;1.27
2022.04.05 10:09:18;Sell;0.02;EURUSD;1.09746;2022.04.05 13:42:10;1.09616;;;2.6
2022.04.05 10:09:21;Sell;0.02;EURUSD;1.09742;2022.04.05 13:42:09;1.09616;;;2.52
2022.04.05 10:09:20;Sell;0.02;EURUSD;1.09745;2022.04.05 13:42:06;1.09615;;;2.6
2022.04.05 10:16:46;Sell;0.02;EURUSD;1.09717;2022.04.05 13:42:03;1.09612;;;2.1
2022.04.05 10:16:47;Sell;0.02;EURUSD;1.0971899999999999;2022.04.05 13:41:37;1.09609;;;2.2
2022.04.04 13:01:11;Sell;0.02;EURUSD;1.10078;2022.04.05 00:49:32;1.0973;;-0.01;6.96
2022.04.04 16:36:00;Sell;0.02;EURUSD;1.0987;2022.04.05 00:49:28;1.0973;;-0.01;2.8
2022.04.04 13:01:47;Sell;0.02;EURUSD;1.10077;2022.04.05 00:49:28;1.0973;;-0.01;6.9399999999999995
2022.04.04 13:01:27;Sell;0.02;EURUSD;1.1008;2022.04.05 00:49:28;1.0973;;-0.01;7
2022.04.04 16:38:21;Sell;0.02;EURUSD;1.0989;2022.04.05 00:49:14;1.09732;;-0.01;3.16
2022.04.04 16:38:22;Sell;0.02;EURUSD;1.0989;2022.04.05 00:49:10;1.09733;;-0.01;3.14
2022.04.04 16:35:59;Sell;0.02;EURUSD;1.09868;2022.04.04 21:23:56;1.09633;;;4.7
2022.04.04 16:35:58;Sell;0.02;EURUSD;1.09867;2022.04.04 21:23:56;1.09633;;;4.68
2022.03.29 14:20:18;Sell;0.01;EURUSD;1.10432;2022.04.04 00:45:09;1.10452;;-0.05;-0.2
2022.03.29 14:20:19;Sell;0.01;EURUSD;1.10433;2022.04.04 00:45:08;1.10452;;-0.05;-0.19
