Time;Type;Volume;Symbol;Price;S/L;T/P;Time;Price;Commission;Swap;Profit;Comment
2022.04.05 15:13:23;Sell;0.10;EURCHF;1.01400;1.02160;;2022.04.06 23:12:14;1.01686;;-0.34;-30.65;
2022.04.06 11:01:29;Sell Stop;0.10;GBPCAD;1.62700;1.63744;;2022.04.06 17:13:43;1.63550;;;;cancelled
2022.04.05 17:21:13;Buy;0.10;USDJPY;123.289;122.166;;2022.04.06 17:13:12;123.879;;-0.18;47.63;
2022.04.05 09:34:06;Sell Limit;0.05;EURCHF;1.02301;;;2022.04.05 09:34:10;1.01603;;;;cancelled
2022.04.05 09:29:56;Buy Limit;0.05;NZDUSD;0.69206;;;2022.04.05 09:30:03;0.69858;;;;cancelled
2022.04.04 13:16:41;Sell;0.10;EURCAD;1.37566;1.38600;;2022.04.05 00:32:43;1.37052;;0.05;41.16;
2022.04.04 10:59:36;Sell;0.10;EURAUD;1.46647;1.47740;;2022.04.04 20:18:05;1.45545;;;83.10;
2022.03.31 09:37:09;Sell Stop;0.10;GBPCHF;1.20880;1.21778;;2022.04.04 10:14:58;1.21540;;;;cancelled
2022.03.30 16:21:32;Sell;0.06;USDCAD;1.24450;1.25350;;2022.04.01 20:20:24;1.25355;;-0.56;-43.32;[sl]
2022.03.30 09:12:42;Sell Stop;0.06;GBPCAD;1.62850;1.64373;;2022.03.30 19:08:57;1.64244;;;;cancelled
2022.03.30 09:45:25;Buy Stop;0.10;AUDUSD;0.75660;0.74900;;2022.03.30 17:31:40;0.75217;;;;cancelled
2022.03.29 12:46:56;Buy;0.10;AUDNZD;1.08867;1.08000;;2022.03.30 04:55:13;1.08000;;-0.33;-60.27;[sl]
2022.03.29 11:54:29;Sell;0.07;GBPCAD;1.63379;1.64722;;2022.03.29 21:37:13;1.63474;;;-5.32;
2022.03.28 23:13:36;Sell;0.09;AUDUSD;0.74933;0.75070;;2022.03.29 02:13:36;0.75074;;-0.20;-12.69;[sl]
2022.03.28 10:14:35;Sell Stop;0.07;EURNZD;1.57066;1.58300;;2022.03.28 19:51:39;1.59358;;;;cancelled
2022.03.28 14:47:57;Balance;;;;;;;;;;-80.10;Withdrawal
