Time;Type;Volume;Symbol;Price;S/L;T/P;Time;Price;Commission;Swap;Profit;Comment
2022.04.06 18:58:45;Buy;0.01;EURGBP;0.83412;0.83212;0.83812;2022.04.07 21:59:31;0.83212;;;-2.61;[sl]
2022.04.07 16:06:22;Sell;0.01;XAUUSD;1 929.64;1 933.64;1 924.64;2022.04.07 17:00:18;1 933.73;;;-4.09;[sl]
2022.04.07 15:50:20;Buy Limit;0.01;XAUUSD;1 925.72;1 922.72;1 930.72;2022.04.07 16:05:27;1 930.44;;;;cancelled
2022.04.06 16:35:22;Buy;0.01;GBPCAD;1.63391;1.63204;1.63804;2022.04.06 21:22:46;1.63804;;;3.29;[tp]
2022.04.06 10:00:40;Sell;0.01;AUDUSD;0.75834;0.76034;0.75434;2022.04.06 17:47:12;0.75434;;;4.00;[tp]
2022.04.06 06:38:22;Sell;0.01;XAUUSD;1 923.56;1 926.56;1 918.56;2022.04.06 09:35:17;1 918.56;;;5.00;[tp]
2022.04.06 08:58:28;Sell;0.01;XAUUSD;1 921.51;1 926.56;1 918.56;2022.04.06 09:01:25;1 920.85;;;0.66;
2022.04.05 05:31:44;Buy;0.01;GBPUSD;1.31188;1.30993;1.31593;2022.04.05 15:56:22;1.31332;;;1.44;
2022.04.05 10:06:16;Sell;0.01;XAUUSD;1 932.16;1 933.36;1 925.36;2022.04.05 15:04:37;1 925.36;;;6.80;[tp]
2022.04.05 02:11:14;Balance;;;;;;;;;;300.00;
2021.05.13 11:50:47;Balance;;;;;;;;;;-13.24;
2021.05.13 11:50:24;Balance;;;;;;;;;;10.00;
2021.05.13 10:26:29;Balance;;EURUSD;;;;;;;;-80.19;
2021.05.13 04:45:35;Balance;;;;;;;;;;45.10;
2021.05.13 04:43:50;Balance;;;;;;;;;;-22.55;
2021.05.05 01:20:57;Balance;;;;;;;;;;60.88;
