Time;Type;Volume;Symbol;Price;S/L;T/P;Time;Price;Commission;Swap;Profit;Comment
2022.04.08 08:19:34;Sell;0.06;GBPUSD;1.30670;1.30871;1.30316;2022.04.08 09:01:40;1.30675;-0.39;;-0.30;
2022.04.07 12:00:07;Sell;0.03;GBPUSD;1.30752;1.30752;1.30098;2022.04.07 22:01:30;1.30752;-0.20;;0.00;[sl]
2022.04.07 10:04:28;Buy;0.05;USDJPY;123.769;123.466;124.501;2022.04.07 19:00:26;123.806;-0.25;;1.49;
2022.04.07 11:00:45;Sell Limit;0.03;EURUSD;1.09055;1.09443;1.08221;2022.04.07 12:40:55;1.08859;;;;cancelled
2022.04.06 16:01:03;Sell;0.05;NZDUSD;0.69469;0.69469;0.68992;2022.04.06 21:03:15;0.69471;-0.17;;-0.10;[sl]
2022.04.06 16:14:24;Buy;0.04;EURUSD;1.09288;1.08970;1.09869;2022.04.06 17:00:16;1.09139;-0.22;;-5.96;
2022.04.06 16:02:21;Sell;0.04;AUDUSD;0.75692;0.75977;0.75143;2022.04.06 16:51:57;0.75687;-0.15;;0.20;
2022.04.06 14:03:13;Sell Limit;0.01;XAUUSD;1 925.27;1 934.03;1 892.27;2022.04.06 14:45:25;1 921.18;;;;cancelled
2022.04.06 06:51:09;Sell;0.07;NZDUSD;0.69412;0.69587;0.68907;2022.04.06 10:03:36;0.69589;-0.24;;-12.39;[sl]
2022.04.05 13:08:52;Buy;0.02;GBPUSD;1.31371;1.31371;1.32197;2022.04.05 17:17:52;1.31363;-0.13;;-0.16;[sl]
2022.04.05 16:03:14;Buy;0.01;XAUUSD;1 933.37;1 933.37;1 959.15;2022.04.05 17:15:34;1 933.37;-0.10;;0.00;[sl]
2022.04.05 13:08:52;Buy;0.02;GBPUSD;1.31371;1.31371;1.32197;2022.04.05 16:52:51;1.31648;-0.13;;5.54;to #68220091
2022.04.05 13:03:01;Sell;0.07;USDCHF;0.92543;0.92540;0.92239;2022.04.05 15:35:09;0.92540;-0.35;;0.23;[sl]
2022.04.05 10:03:37;Sell;0.08;USDCHF;0.92558;0.92696;0.92235;2022.04.05 11:02:38;0.92552;-0.40;;0.52;
2022.04.05 09:15:36;Buy Limit;0.08;GBPUSD;1.31182;1.31031;1.31512;2022.04.05 10:01:32;1.31399;;;;cancelled
2022.04.05 08:00:11;Buy Limit;0.08;GBPUSD;1.31180;1.31029;1.31510;2022.04.05 08:44:42;1.31334;;;;cancelled
2022.04.05 04:04:14;Buy Limit;0.07;NZDUSD;0.69396;0.69232;0.69909;2022.04.05 07:47:10;0.69777;;;;cancelled
2022.04.04 18:07:15;Buy;0.01;XAUUSD;1 932.25;1 922.59;1 958.68;2022.04.04 19:06:19;1 932.76;-0.10;;0.51;
2022.04.04 17:14:01;Buy;0.10;SPX500;4 559.3;4 535.7;4 634.9;2022.04.04 18:00:01;4 563.4;-0.06;;4.10;
2022.04.04 16:51:03;Buy Limit;0.07;NZDUSD;0.69390;0.69208;0.69751;2022.04.04 17:44:10;0.69487;;;;cancelled
2022.04.04 15:07:20;Sell;0.04;GBPUSD;1.31120;1.31394;1.30629;2022.04.04 17:00:20;1.31152;-0.26;;-1.28;
2022.04.04 11:26:29;Sell;0.03;EURUSD;1.10359;1.10359;1.09691;2022.04.04 16:34:07;1.09871;-0.17;;14.64;from #68202893
2022.04.04 14:15:53;Buy;0.03;USDJPY;122.752;122.330;123.536;2022.04.04 16:03:25;122.672;-0.15;;-1.96;
2022.04.04 13:52:36;Sell;0.01;XAUUSD;1 928.32;1 935.18;1 891.55;2022.04.04 15:32:39;1 935.27;-0.10;;-6.95;[sl]
2022.04.04 11:26:29;Sell;0.02;EURUSD;1.10359;1.10359;1.09691;2022.04.04 13:50:10;1.10067;-0.11;;5.84;to #68204566
2022.04.04 07:18:52;Buy;0.05;USDJPY;122.685;122.220;;2022.04.04 08:29:00;122.650;-0.25;;-1.43;
2022.04.01 16:07:23;Buy;0.06;USDCHF;0.92505;0.92505;0.93215;2022.04.01 17:54:02;0.92648;-0.30;;9.26;
2022.04.01 15:59:33;Sell Limit;0.03;GBPUSD;1.31208;1.31542;1.30598;2022.04.01 16:46:17;1.30950;;;;cancelled
2022.04.01 15:04:35;Buy Limit;0.02;XAUUSD;1 925.68;1 920.99;1 936.06;2022.04.01 15:18:42;1 930.68;;;;cancelled
2022.04.01 14:02:25;Sell Limit;0.01;XAUUSD;1 930.23;1 937.58;1 919.88;2022.04.01 14:10:17;1 926.75;;;;cancelled
2022.04.01 10:49:37;Buy;0.07;USDCAD;1.25065;1.24841;1.25865;2022.04.01 12:40:15;1.24841;-0.35;;-12.56;[sl]
2022.04.01 04:14:00;Sell;0.07;NZDUSD;0.69280;0.69280;0.68902;2022.04.01 09:00:11;0.69177;-0.24;;7.21;
2022.03.31 14:13:03;Buy;0.05;USDCHF;0.92495;0.92267;0.93255;2022.03.31 16:59:33;0.92267;-0.25;;-12.36;[sl]
2022.03.31 13:53:55;Sell;0.05;GBPUSD;1.31316;1.31534;1.30659;2022.03.31 16:00:35;1.31387;-0.33;;-3.55;
2022.03.31 14:07:09;Buy Limit;0.06;USDCHF;0.92443;0.92267;0.93245;2022.03.31 14:12:41;0.92484;;;;cancelled
2022.03.31 13:27:58;Sell;0.01;XAUUSD;1 928.24;1 936.63;1 928.77;2022.03.31 14:09:38;1 930.05;-0.10;;-1.81;
2022.03.31 11:31:42;Sell Limit;0.01;XAUUSD;1 927.12;1 935.51;1 911.53;2022.03.31 11:58:02;1 926.51;;;;cancelled
2022.03.31 06:11:34;Sell Limit;0.04;GBPUSD;1.31262;1.31547;1.30619;2022.03.31 07:50:53;1.31145;;;;cancelled
2022.03.30 17:34:34;Buy Limit;0.02;EURUSD;1.11496;1.11026;1.12602;2022.03.30 18:56:09;1.11648;;;;cancelled
2022.03.30 16:03:15;Buy;0.01;XAUUSD;1 926.48;1 926.48;1 959.20;2022.03.30 17:58:01;1 937.21;-0.10;;10.73;
2022.03.30 16:59:01;Buy Limit;0.03;EURUSD;1.11423;1.11026;1.12347;2022.03.30 17:34:26;1.11621;;;;cancelled
2022.03.30 14:59:51;Buy Limit;0.05;USDCHF;0.92632;0.92406;0.93152;2022.03.30 15:14:50;0.92653;;;;cancelled
2022.03.30 15:01:45;Buy Limit;0.04;GBPUSD;1.31534;1.31266;1.32214;2022.03.30 15:05:58;1.31596;;;;cancelled
2022.03.30 10:42:51;Buy Limit;0.01;XAUUSD;1 920.68;1 913.59;1 959.37;2022.03.30 11:07:19;1 923.81;;;;cancelled
2022.03.30 05:02:22;Buy Limit;0.01;XAUUSD;1 920.68;1 912.90;1 937.51;2022.03.30 10:32:11;1 924.02;;;;cancelled
2022.03.30 08:03:33;Sell;0.06;USDCAD;1.24901;1.24901;1.23950;2022.03.30 10:31:30;1.24900;-0.30;;0.05;[sl]
2022.03.30 05:00:35;Buy Limit;0.01;XAUUSD;1 920.68;1 913.99;1 960.18;2022.03.30 05:02:11;1 923.73;;;;cancelled
2022.03.29 12:08:01;Sell;0.03;AUDUSD;0.74891;0.75222;0.73976;2022.03.29 15:01:27;0.75087;-0.11;;-5.88;
2022.03.29 10:21:32;Buy Limit;0.04;EURUSD;1.09959;1.09763;1.10619;2022.03.29 10:58:19;1.10043;;;;cancelled
2022.03.29 04:15:38;Sell;0.04;AUDUSD;0.74865;0.75097;0.73979;2022.03.29 09:53:21;0.75096;-0.15;;-9.24;[sl]
2022.03.29 04:07:48;Sell;0.04;EURUSD;1.09769;1.10063;1.08925;2022.03.29 05:50:20;1.09902;-0.22;;-5.32;
